ASV_ID	Phylum	Class	Order	Family	Genus	Species	pct_identity	status	records	selected_level	BIN	flags	Original_OTU_Count
134d8032a2461d5497a1bc43dabc3831	Arthropoda	Insecta	Lepidoptera				86.25	public	1	Order		1--4	1
11422e005cec06c14ac5d17f2a6c63fe	Arthropoda	Insecta	Hemiptera				85.22	public	2	Order		1--2	1
ed14ea0178bc17d6c387e5833a6a1d08	Arthropoda	Copepoda	Calanoida				85.397	public	1	Order		4	1
92b8795f12f76ce7c463a017631bf73c	Arthropoda	Insecta	Hymenoptera	Formicidae	Ponera	Ponera coarctata	100.0	public	87	Species	BOLD:AAU2930	2	1
8cb7afe4278a957b03520a03e931008d	Arthropoda	Insecta	Hymenoptera				85.0	public	1	Order		4	1
cec925f1c5be5aad43c44bc39a6e1efa	Arthropoda	Insecta	Hemiptera				86.12	public	2	Order		1--2	1
07b9e647b42bf49e6e29bb4c9a5c5cdc	Arthropoda	Insecta	Lepidoptera				88.462	public	1	Order		1--4	1
4ffeff8f9b027d4c472444ac20b3dea2	Arthropoda	Insecta	Lepidoptera				86.129	public	1	Order		1--4	1
24c058c74a30df14b6b3c6f49c069204	Arthropoda	Insecta	Lepidoptera				85.625	public	1	Order		1--4	1
2823fbb91e460bec83e3cfb6123c3a60	Arthropoda	Insecta	Hymenoptera				88.217	public	1	Order		4	1
dc47b5b14c1238c5d44209969d2eed6e	Arthropoda	Copepoda	Calanoida				85.404	public	1	Order		4	1
c41f8be36cc98eb23676c59238414461	Arthropoda	Insecta	Lepidoptera				85.358	public	1	Order		1--4	1
9743e996716aad13d0e48d36f5927061	Arthropoda	Copepoda	Calanoida				86.335	public	1	Order		4	1
5d38b842865e32084d85669576166374	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae			100.0	public	6	Family			1
587c1fecd339934a3e61dfd08a56f297	Arthropoda	Insecta	Hemiptera				86.792	public	2	Order		1--2	1
e702abefd175d7f7f49f3e14bef72037	Arthropoda	Insecta	Hemiptera	Miridae			93.103	public	2	Family		1	1
29c244a2dcecc694842d9973be222d40	Arthropoda	Insecta	Lepidoptera				85.58	public	1	Order		1--4	1
879c6ab1e55b2a84cadcf800f06de35b	Arthropoda	Insecta	Hymenoptera	Diapriidae			90.282	public	1	Family		4	1
909cf0cf8ff99b49ddb1879a0acdb61e	Arthropoda	Insecta	Hymenoptera				85.804	public	1	Order		2--4	1
19b02e30167e758d421659f648739470	Arthropoda	Insecta	Lepidoptera				86.293	public	1	Order		1--4	1
c4fe4e2fa2e68306a0359d68de3a1128	Arthropoda	Insecta	Hemiptera				85.266	public	2	Order		1--2	1
6ce70a5fb25ceafdc43119033fe1f41a	Arthropoda	Insecta	Lepidoptera				85.938	public	1	Order		1--2--4	1
09b0c2b5e85f7f54ae9ff5c2db3516aa	Arthropoda	Diplura	Rhabdura	Campodeidae	Campodea	Campodea fragilis	98.457	public	2	Species	BOLD:ADC6342		1
e2b9f99ea9aec6ca4690b22336e0a599	Arthropoda	Insecta	Hemiptera				85.849	public	2	Order		1--2	1
f7b24a39780e27d588dd689f76e021e0	Arthropoda	Insecta	Hymenoptera				85.0	public	1	Order		4	1
a98afbddaf0dcd161e975cc032f4a7e8	Arthropoda	Insecta	Lepidoptera				87.188	public	1	Order		1--4	1
8ce16da0bda4fd810599c3cdc07069f4	Arthropoda	Insecta	Lepidoptera				89.028	public	1	Order		1--4	1
a91cd88392f771369968ff5cfccec232	Arthropoda	Insecta	Lepidoptera				85.266	public	1	Order		1--4	1
cbd645725480d25ae7f2793e2fddba77	Arthropoda	Insecta	Lepidoptera				88.125	public	1	Order		1--4	1
143f956ab6b369e63c05f07f63c37976	Arthropoda	Insecta	Hymenoptera				86.875	public	1	Order		2--4	1
5fc61bcffd3687369146d2b535578dd5	Arthropoda	Insecta	Diptera	Cecidomyiidae	Dasineura		96.094	public	1	Genus		1--4	1
b98ec4bca67d828823dd752bcee4f2c8	Arthropoda	Insecta	Hemiptera				89.308	public	2	Order		1--2	1
6ea8a8784723ff9576379326e5a4abf8	Arthropoda	Collembola	Symphypleona	Katiannidae	Sminthurinus		96.53	public	14	Genus			1
ba6f91afc344545705bad14b303bdd8c	Arthropoda	Insecta	Hymenoptera				86.792	public	1	Order		2--4	1
b817c1e6e80a6ad5cc688a37ca55b4b5	Arthropoda	Insecta	Hemiptera				86.164	public	2	Order		1--2	1
e027a7821080647eb718dbda5bfd7533	Arthropoda	Insecta	Lepidoptera				85.358	public	1	Order		1--2--4	1
9549c17d22dd81f1d379355f40d67f0f	Arthropoda	Insecta	Coleoptera				88.75	public	3	Order		2	1
10877a096b82e104125844f97b526e43	Arthropoda	Insecta	Lepidoptera				85.574	public	2	Order		1--2	1
1bb523a0665f5bc5c8208421245f5a17	Arthropoda	Insecta	Hemiptera				87.255	public	2	Order		1--2	1
